keyword_code,name,category,is_active
KEY_001,과자,type,1
KEY_002,차,type,1
KEY_003,간편식품,type,1
KEY_004,바삭함,taste,1
KEY_005,쫀득함,taste,1
KEY_006,디저트,taste,1
KEY_007,음료,type,1
KEY_008,주류,type,1
KEY_009,짠맛,taste,1
KEY_010,단맛,taste,1
KEY_011,매운맛,taste,1
KEY_012,캐릭터,type,1
KEY_013,장난감,type,1
KEY_014,피규어,type,1
KEY_015,굿즈,type,1
KEY_016,인형,type,1
KEY_017,의류,type,1
KEY_018,가방,type,1
KEY_019,손수건,type,1
KEY_020,가성비,mood,1
KEY_021,럭셔리,mood,1
KEY_022,최신 유행,trend,1
KEY_023,스테디셀러,trend,1
KEY_024,한정판,trend,1
KEY_025,SNS,trend,1
KEY_026,귀여움,mood,1
KEY_027,코믹,mood,1
KEY_028,아동용,type,1
KEY_029,주방용품,type,1
KEY_030,인테리어,type,1
KEY_031,전통공예,type,1
KEY_032,문구용품,type,1
KEY_033,향수,type,1
KEY_034,바디케어,type,1
KEY_035,화장품,type,1
KEY_036,건강용품,type,1
KEY_037,단짠단짠,taste,1
KEY_038,상큼함,taste,1
KEY_039,고소함,taste,1
KEY_040,레트로,mood,1
KEY_041,아기자기,mood,1
KEY_042,술안주,type,1
KEY_043,실용적,type,1
KEY_044,초콜릿/캔디,type,1
KEY_045,쿠키/파이,type,1
KEY_046,빵/케이크,type,1
KEY_047,안주류,type,1
KEY_048,조미료/소스,type,1
KEY_049,면류,type,1
KEY_050,건어물/해조류,type,1
KEY_051,식기류,type,1
KEY_052,액세서리,type,1
KEY_053,패키지/틴케이스,type,1
KEY_054,에코백/파우치,type,1
KEY_055,감칠맛,taste,1
KEY_056,향긋함,taste,1
KEY_057,쌉싸름함,taste,1
KEY_058,부드러움,taste,1
KEY_059,치즈 풍미,taste,1
KEY_060,녹차/말차 풍미,taste,1
KEY_061,고급스러움/격식,mood,1
KEY_062,수공예/핸드메이드,type,1
KEY_063,이색적인/독특한,mood,1
KEY_064,전통적인,mood,1
KEY_065,친환경/에코,trend,1
KEY_066,업사이클링,trend,1
KEY_067,개별포장,packaging,1
KEY_068,지역한정/로컬,trend,1
KEY_069,푸드로스 방지,trend,1
KEY_070,지속가능한,trend,1
