product_code,age_group_code,note
PRD_001,AGE_003,20대 (트렌디한 프리미엄 디저트)
PRD_001,AGE_004,30대 (선물용 및 가족 간식)
PRD_001,AGE_005,40대 (고급스러운 치즈 풍미 선호)
PRD_002,AGE_002,10대 (부담 없는 쿠키 선물)
PRD_002,AGE_003,20대 (SNS 인기 및 직장 동료 선물)
PRD_002,AGE_004,30대 (휴대성이 좋은 간식용)
PRD_003,AGE_005,40대 (정성스럽게 구운 전통적인 맛)
PRD_003,AGE_006,50대 (품격 있는 선물용 바움쿠헨)
PRD_003,AGE_007,60대 (부드러운 식감 선호)
PRD_004,AGE_003,20대 (맥주 안주로 활용)
PRD_004,AGE_004,30대 (짭짤한 로컬 간식 선호)
PRD_004,AGE_006,50대 (전통적인 쌀과자 식감 선호)
PRD_005,AGE_006,50대 (오타루의 향수를 간직한 노포 과자)
PRD_005,AGE_007,60대 (오랜 시간 사랑받은 스테디셀러)
PRD_005,AGE_008,70대 이상 (전통적인 선물의 정석)
PRD_006,AGE_003,20대 (크래프트 맥주 탐방층)
PRD_006,AGE_004,30대 (다양한 맥주 풍미를 즐기는 층)
PRD_006,AGE_005,40대 (운하 창고의 역사와 함께 즐기는 층)
PRD_007,AGE_005,40대 (실용적인 고품질 식재료 선호)
PRD_007,AGE_006,50대 (가족 식사 대용 및 선물용)
PRD_007,AGE_007,60대 (전통 있는 브랜드의 어묵 선호)
PRD_008,AGE_004,30대 (세련된 디자인과 로컬 역사 중시)
PRD_008,AGE_005,40대 (의미 있는 기념품 선물)
PRD_009,AGE_001,10세 미만 (아이들을 위한 음악 선물)
PRD_009,AGE_002,10대 (아기자기한 소품 선호)
PRD_009,AGE_003,20대 (로맨틱한 감성 소품)
PRD_010,AGE_005,40대 (고급 인테리어 및 주방 잡화 선호)
PRD_010,AGE_006,50대 (장인 정신이 깃든 공예품 감상층)
PRD_010,AGE_007,60대 (소장 가치가 높은 예술품 선물)
PRD_031,AGE_004,30대 (전통 디저트를 즐기며 선물용으로 활용)
PRD_031,AGE_005,40대 (팥 기반의 익숙하고 안정적인 맛 선호)
PRD_031,AGE_006,50대 (전통 화과자에 대한 선호도가 높은 연령층)
PRD_031,AGE_007,60대 (부드럽고 부담 없는 식감의 디저트 선호)
PRD_032,AGE_002,10대 (달콤하고 간편하게 즐길 수 있는 간식)
PRD_032,AGE_003,20대 (가볍게 즐기는 트렌디한 디저트)
PRD_032,AGE_004,30대 (커피와 함께 즐기기 좋은 간식)
PRD_033,AGE_004,30대 (취미로 술을 즐기기 시작하는 연령대)
PRD_033,AGE_005,40대 (지역 특산주에 대한 관심과 소비 경험)
PRD_033,AGE_006,50대 (전통주를 선호하는 주요 소비층)
PRD_033,AGE_007,60대 (부담 없이 즐길 수 있는 익숙한 주류)
PRD_034,AGE_002,10대 (부드럽고 달콤한 쿠키류 선호)
PRD_034,AGE_003,20대 (카페 디저트 스타일 간식 선호)
PRD_034,AGE_004,30대 (직장 내 간식 및 선물용 활용)
PRD_034,AGE_005,40대 (가족과 함께 나누기 좋은 디저트)
PRD_035,AGE_001,10세 미만 (귀여운 캐릭터로 흥미 유도)
PRD_035,AGE_002,10대 (캐릭터 상품에 대한 선호)
PRD_035,AGE_003,20대 (실용성과 디자인을 동시에 고려)
PRD_035,AGE_004,30대 (친환경 제품과 실용성 중시)
PRD_036,AGE_002,10대 (탄산음료와 색다른 맛에 대한 호기심)
PRD_036,AGE_003,20대 (이색 음료를 경험하려는 소비 성향)
PRD_036,AGE_004,30대 (특이한 지역 음료를 체험하려는 수요)
PRD_037,AGE_001,10세 미만 (귀여운 캐릭터 간식 선호)
PRD_037,AGE_002,10대 (친구들과 나눠 먹기 좋은 간식)
PRD_037,AGE_003,20대 (가벼운 선물용 디저트로 적합)
PRD_038,AGE_004,30대 (프리미엄 디저트를 선물용으로 소비)
PRD_038,AGE_005,40대 (고급 디저트에 대한 선호도 높음)
PRD_038,AGE_006,50대 (정성 있는 고급 간식 선호)
PRD_039,AGE_004,30대 (전통 간식을 선물용으로 활용)
PRD_039,AGE_005,40대 (검증된 지역 명과에 대한 선호)
PRD_039,AGE_006,50대 (전통 화과자 소비층)
PRD_039,AGE_007,60대 (익숙한 맛과 부드러운 식감 선호)
PRD_040,AGE_002,10대 (귀여운 캐릭터 굿즈 선호)
PRD_040,AGE_003,20대 (실용성과 디자인을 중시하는 소비층)
PRD_040,AGE_004,30대 (일상에서 활용 가능한 친환경 아이템)
PRD_021,AGE_002,10대 (액세서리 및 해양 보전 관심)
PRD_021,AGE_003,20대 (업사이클링 트렌드)
PRD_021,AGE_004,30대 (의미 있는 수작업 제품 선호)
PRD_022,AGE_003,20대 (식물성 성분 및 뷰티 관심)
PRD_022,AGE_004,"30대 (미세플라스틱 프리, 한정판 패키지)"
PRD_022,AGE_005,40대 (저자극 세안제 선호)
PRD_023,AGE_003,"20대 (푸드로스 지향, 가성비 디저트)"
PRD_023,AGE_004,30대 (유명 브랜드의 실속형 소비)
PRD_023,AGE_005,40대 (커피/차와 곁들이기 좋은 간식)
PRD_024,AGE_002,10대 (다채로운 색감과 바삭한 식감)
PRD_024,AGE_003,20대 (가볍게 즐기는 디저트)
PRD_024,AGE_004,30대 (순환 활용 에코 식품)
PRD_025,AGE_003,"20대 (고급 디저트, 에시컬 소비)"
PRD_025,AGE_004,30대 (프리미엄 생초콜릿 선호)
PRD_026,AGE_005,40대 (해산물 베이스의 짭조름한 전병)
PRD_026,AGE_006,50대 (잔멸치를 활용한 로컬 전통 과자)
PRD_026,AGE_007,60대 (익숙한 식재료와 식감)
PRD_027,AGE_006,50대 (전통 목공예 기술과 내구성 중시)
PRD_027,AGE_007,"60대 (장인 상품, 대를 잇는 가치)"
PRD_027,AGE_008,70대 이상 (전통 로컬 헤리티지)
PRD_028,AGE_003,"20대 (다양한 맛, 친환경 패키지)"
PRD_028,AGE_004,30대 (부담 없는 선물용)
PRD_028,AGE_005,40대 (건강한 콩 베이스 간식)
PRD_028,AGE_006,50대 (어른들 입맛에 맞는 다과)
PRD_029,AGE_001,10세 미만 (귀여운 비둘기 모양과 달콤한 맛)
PRD_029,AGE_002,10대 (역사 깊은 대중적인 쿠키)
PRD_029,AGE_003,20대 (지역 대표 굿즈 및 캔 패키지 소장)
PRD_030,AGE_004,30대 (전통과 현대적 맛의 조화)
PRD_030,AGE_005,40대 (고급스러운 크림 센베이)
PRD_030,AGE_006,50대 (계절 한정 다과로 선호)
PRD_056,AGE_004,30대 (말차 풍미의 세련된 화과자)
PRD_056,AGE_005,40대 (쌉싸름한 차 풍미 선호)
PRD_056,AGE_006,50대 (전통 화과자 선호)
PRD_057,AGE_005,40대 (고급스러운 박스형 전통 과자)
PRD_057,AGE_006,50대 (팥앙금과 규히의 익숙한 맛)
PRD_057,AGE_007,60대 (부드럽고 정갈한 화과자)
PRD_058,AGE_004,30대 (구마모토성 스토리가 있는 선물)
PRD_058,AGE_005,40대 (검은깨와 팥의 고소한 맛)
PRD_058,AGE_006,50대 (전통적인 지역 과자 선호)
PRD_059,AGE_005,40대 (상큼한 산미가 있는 전통 과자)
PRD_059,AGE_006,50대 (단맛이 과하지 않은 화과자)
PRD_059,AGE_007,60대 (가볍게 즐기기 좋은 전통 디저트)
PRD_060,AGE_001,10세 미만 (구마몬 캐릭터 패키지)
PRD_060,AGE_002,10대 (귀여운 캐릭터 기념품)
PRD_060,AGE_003,20대 (사진 찍기 좋은 구마몬 패키지)
PRD_061,AGE_001,10세 미만 (달콤하고 먹기 쉬운 도라야키)
PRD_061,AGE_002,10대 (부담 없는 낱개 간식)
PRD_061,AGE_003,20대 (가성비 좋은 여행 간식)
PRD_062,AGE_001,10세 미만 (과일 맛 젤리형 과자)
PRD_062,AGE_002,10대 (시원하고 상큼한 디저트)
PRD_062,AGE_003,20대 (가볍게 즐기는 과일 젤리)
PRD_063,AGE_003,20대 (친구들과 나누기 좋은 구움과자)
PRD_063,AGE_004,30대 (직장·가족 선물용 개별 포장)
PRD_063,AGE_005,40대 (무난한 지역 대표 과자)
PRD_064,AGE_003,20대 (프리미엄 버터샌드 디저트)
PRD_064,AGE_004,30대 (소량 고급 간식 선물)
PRD_064,AGE_005,40대 (부담스럽지 않은 고급 과자)
PRD_065,AGE_002,10대 (가볍고 바삭한 사브레)
PRD_065,AGE_003,20대 (동아리·친구들과 나누기 좋음)
PRD_065,AGE_004,30대 (회사 간식 선물용)
PRD_066,AGE_001,10세 미만 (부드러운 커스터드 과자)
PRD_066,AGE_003,20대 (달콤한 디저트 선물)
