product_code,keyword_code
PRD_001,KEY_046
PRD_001,KEY_059
PRD_001,KEY_058
PRD_001,KEY_006
PRD_002,KEY_045
PRD_002,KEY_059
PRD_002,KEY_067
PRD_003,KEY_046
PRD_003,KEY_058
PRD_003,KEY_067
PRD_004,KEY_001
PRD_004,KEY_004
PRD_004,KEY_047
PRD_004,KEY_009
PRD_005,KEY_045
PRD_005,KEY_023
PRD_005,KEY_044
PRD_006,KEY_008
PRD_006,KEY_068
PRD_007,KEY_003
PRD_007,KEY_005
PRD_007,KEY_061
PRD_008,KEY_046
PRD_008,KEY_053
PRD_008,KEY_004
PRD_009,KEY_031
PRD_009,KEY_030
PRD_009,KEY_062
PRD_010,KEY_051
PRD_010,KEY_061
PRD_010,KEY_062
PRD_021,KEY_052
PRD_021,KEY_066
PRD_021,KEY_065
PRD_022,KEY_034
PRD_022,KEY_065
PRD_022,KEY_053
PRD_023,KEY_001
PRD_023,KEY_020
PRD_023,KEY_069
PRD_024,KEY_046
PRD_024,KEY_004
PRD_024,KEY_070
PRD_025,KEY_044
PRD_025,KEY_058
PRD_025,KEY_065
PRD_026,KEY_001
PRD_026,KEY_004
PRD_026,KEY_068
PRD_027,KEY_051
PRD_027,KEY_031
PRD_027,KEY_043
PRD_028,KEY_001
PRD_028,KEY_065
PRD_028,KEY_039
PRD_029,KEY_045
PRD_029,KEY_023
PRD_029,KEY_053
PRD_030,KEY_001
PRD_030,KEY_064
PRD_030,KEY_024
PRD_031,KEY_045
PRD_031,KEY_010
PRD_031,KEY_064
PRD_032,KEY_046
PRD_032,KEY_010
PRD_032,KEY_004
PRD_033,KEY_008
PRD_033,KEY_012
PRD_033,KEY_064
PRD_034,KEY_045
PRD_034,KEY_058
PRD_034,KEY_067
PRD_035,KEY_051
PRD_035,KEY_012
PRD_035,KEY_065
PRD_036,KEY_007
PRD_036,KEY_063
PRD_036,KEY_038
PRD_037,KEY_045
PRD_037,KEY_012
PRD_037,KEY_026
PRD_038,KEY_046
PRD_038,KEY_010
PRD_038,KEY_068
PRD_039,KEY_006
PRD_039,KEY_064
PRD_039,KEY_010
PRD_040,KEY_054
PRD_040,KEY_012
PRD_040,KEY_065
PRD_041,KEY_046
PRD_041,KEY_010
PRD_041,KEY_068
PRD_042,KEY_019
PRD_042,KEY_031
PRD_042,KEY_065
PRD_043,KEY_048
PRD_043,KEY_010
PRD_043,KEY_061
PRD_044,KEY_048
PRD_044,KEY_038
PRD_044,KEY_010
PRD_045,KEY_049
PRD_045,KEY_003
PRD_045,KEY_068
PRD_046,KEY_046
PRD_046,KEY_023
PRD_047,KEY_050
PRD_047,KEY_037
PRD_048,KEY_046
PRD_048,KEY_058
PRD_048,KEY_068
PRD_049,KEY_049
PRD_049,KEY_039
PRD_049,KEY_064
PRD_050,KEY_050
PRD_050,KEY_061
PRD_051,KEY_002
PRD_051,KEY_038
PRD_051,KEY_065
PRD_052,KEY_008
PRD_052,KEY_066
PRD_052,KEY_065
PRD_053,KEY_051
PRD_053,KEY_066
PRD_053,KEY_062
PRD_054,KEY_016
PRD_054,KEY_066
PRD_054,KEY_026
PRD_055,KEY_043
PRD_055,KEY_066
PRD_055,KEY_065
PRD_056,KEY_001
PRD_056,KEY_006
PRD_056,KEY_010
PRD_056,KEY_057
PRD_056,KEY_060
PRD_056,KEY_064
PRD_056,KEY_068
PRD_057,KEY_001
PRD_057,KEY_005
PRD_057,KEY_006
PRD_057,KEY_010
PRD_057,KEY_061
PRD_057,KEY_064
PRD_057,KEY_068
PRD_058,KEY_001
PRD_058,KEY_004
PRD_058,KEY_005
PRD_058,KEY_010
PRD_058,KEY_039
PRD_058,KEY_064
PRD_058,KEY_068
PRD_059,KEY_001
PRD_059,KEY_006
PRD_059,KEY_010
PRD_059,KEY_038
PRD_059,KEY_061
PRD_059,KEY_064
PRD_059,KEY_068
PRD_060,KEY_001
PRD_060,KEY_006
PRD_060,KEY_010
PRD_060,KEY_012
PRD_060,KEY_026
PRD_060,KEY_053
PRD_060,KEY_068
PRD_061,KEY_001
PRD_061,KEY_006
PRD_061,KEY_010
PRD_061,KEY_020
PRD_061,KEY_046
PRD_061,KEY_064
PRD_062,KEY_001
PRD_062,KEY_006
PRD_062,KEY_010
PRD_062,KEY_038
PRD_062,KEY_058
PRD_062,KEY_068
PRD_063,KEY_001
PRD_063,KEY_006
PRD_063,KEY_010
PRD_063,KEY_067
PRD_063,KEY_068
PRD_064,KEY_001
PRD_064,KEY_006
PRD_064,KEY_010
PRD_064,KEY_045
PRD_064,KEY_058
