"product_code","location_code","is_active"
"PRD_031","LOC_198","1"
"PRD_031","LOC_230","1"
"PRD_032","LOC_200","1"
"PRD_032","LOC_238","1"
"PRD_033","LOC_137","1"
"PRD_033","LOC_240","1"
"PRD_034","LOC_137","1"
"PRD_035","LOC_137","1"
"PRD_036","LOC_241","1"
"PRD_037","LOC_200","1"
"PRD_037","LOC_238","1"
"PRD_038","LOC_242","1"
"PRD_039","LOC_198","1"
"PRD_039","LOC_230","1"
"PRD_040","LOC_243","1"
"PRD_042","LOC_133","1"
"PRD_043","LOC_133","1"
"PRD_045","LOC_133","1"
"PRD_046","LOC_220","1"
"PRD_048","LOC_133","1"
"PRD_056","LOC_198","1"
"PRD_056","LOC_230","1"
"PRD_057","LOC_198","1"
"PRD_057","LOC_230","1"
"PRD_058","LOC_198","1"
"PRD_058","LOC_230","1"
"PRD_059","LOC_198","1"
"PRD_059","LOC_230","1"
"PRD_060","LOC_198","1"
"PRD_060","LOC_230","1"
"PRD_061","LOC_198","1"
"PRD_061","LOC_230","1"
"PRD_062","LOC_198","1"
"PRD_062","LOC_230","1"
"PRD_063","LOC_199","1"
"PRD_063","LOC_231","1"
"PRD_064","LOC_199","1"
"PRD_064","LOC_231","1"
"PRD_065","LOC_199","1"
"PRD_065","LOC_231","1"
"PRD_066","LOC_199","1"
"PRD_066","LOC_231","1"
"PRD_067","LOC_232","1"
"PRD_068","LOC_232","1"
"PRD_069","LOC_201","1"
"PRD_069","LOC_233","1"
"PRD_070","LOC_201","1"
"PRD_070","LOC_233","1"
"PRD_071","LOC_201","1"
"PRD_071","LOC_233","1"
"PRD_072","LOC_201","1"
"PRD_072","LOC_233","1"
"PRD_073","LOC_234","1"
"PRD_074","LOC_235","1"
"PRD_075","LOC_236","1"
"PRD_076","LOC_236","1"
"PRD_077","LOC_237","1"
"PRD_078","LOC_237","1"
"PRD_079","LOC_237","1"
"PRD_080","LOC_237","1"
"PRD_081","LOC_237","1"
"PRD_082","LOC_237","1"
"PRD_083","LOC_200","1"
"PRD_083","LOC_238","1"
"PRD_084","LOC_200","1"
"PRD_084","LOC_238","1"
"PRD_085","LOC_239","1"
"PRD_086","LOC_252","1"
"PRD_087","LOC_252","1"
"PRD_088","LOC_252","1"
"PRD_089","LOC_253","1"
"PRD_090","LOC_253","1"
"PRD_091","LOC_253","1"
"PRD_092","LOC_253","1"
"PRD_093","LOC_253","1"
"PRD_094","LOC_253","1"
"PRD_095","LOC_222","1"
"PRD_095","LOC_244","1"
"PRD_096","LOC_222","1"
"PRD_096","LOC_244","1"
"PRD_097","LOC_222","1"
"PRD_097","LOC_244","1"
"PRD_098","LOC_222","1"
"PRD_098","LOC_244","1"
"PRD_099","LOC_223","1"
"PRD_099","LOC_245","1"
"PRD_100","LOC_223","1"
"PRD_100","LOC_245","1"
"PRD_101","LOC_223","1"
"PRD_101","LOC_245","1"
"PRD_102","LOC_223","1"
"PRD_102","LOC_245","1"
"PRD_103","LOC_224","1"
"PRD_103","LOC_246","1"
"PRD_104","LOC_224","1"
"PRD_104","LOC_246","1"
"PRD_105","LOC_224","1"
"PRD_105","LOC_246","1"
"PRD_106","LOC_224","1"
"PRD_106","LOC_246","1"
"PRD_107","LOC_225","1"
"PRD_107","LOC_247","1"
"PRD_108","LOC_225","1"
"PRD_108","LOC_247","1"
"PRD_109","LOC_225","1"
"PRD_109","LOC_247","1"
"PRD_110","LOC_225","1"
"PRD_110","LOC_247","1"
"PRD_111","LOC_225","1"
"PRD_111","LOC_247","1"
"PRD_112","LOC_225","1"
"PRD_112","LOC_247","1"
"PRD_113","LOC_226","1"
"PRD_113","LOC_248","1"
"PRD_114","LOC_226","1"
"PRD_114","LOC_248","1"
"PRD_115","LOC_227","1"
"PRD_115","LOC_249","1"
"PRD_116","LOC_228","1"
"PRD_116","LOC_250","1"
"PRD_117","LOC_229","1"
"PRD_117","LOC_251","1"
"PRD_118","LOC_254","1"
"PRD_119","LOC_255","1"
"PRD_120","LOC_252","1"
"PRD_121","LOC_267","1"
"PRD_122","LOC_256","1"
"PRD_123","LOC_256","1"
"PRD_124","LOC_257","1"
"PRD_125","LOC_258","1"
