product_code,target_code,note
PRD_001,TGT_002,연인 (로맨틱한 디저트)
PRD_001,TGT_004,가족 (대중적인 인기 치즈케이크)
PRD_001,TGT_008,자신 (여행 중 보상용)
PRD_002,TGT_003,친구 (트렌디한 랑드샤 쿠키)
PRD_002,TGT_004,가족 (누구나 좋아하는 맛)
PRD_002,TGT_005,직장동료 (개별 포장 및 휴대성 우수)
PRD_003,TGT_001,부모님 (부드럽고 고급스러운 맛)
PRD_003,TGT_004,가족 (함께 나눠 먹기 좋은 크기)
PRD_003,TGT_006,상사/은사 (검증된 브랜드의 품격)
PRD_004,TGT_003,친구 (함께 즐기는 바삭한 안주 과자)
PRD_004,TGT_004,가족 (호불호 없는 짭짤한 맛)
PRD_004,TGT_008,자신 (개인 소장 및 안주용)
PRD_005,TGT_001,부모님 (전통 있는 노포의 맛)
PRD_005,TGT_004,가족 (오타루 현지의 실용적인 선물)
PRD_005,TGT_005,직장동료 (나눠주기 좋은 세트 구성)
PRD_006,TGT_003,친구 (현지 크래프트 맥주 공유)
PRD_006,TGT_008,자신 (현지에서만 맛볼 수 있는 경험)
PRD_007,TGT_001,부모님 (정성스러운 고품질 식재료 선물)
PRD_007,TGT_004,가족 (반찬이나 간식으로 실용적임)
PRD_007,TGT_006,상사/은사 (예의를 갖춘 세트 패키징)
PRD_008,TGT_001,부모님 (고급스러운 기와 문양 디자인)
PRD_008,TGT_004,가족 (의미 있는 지역 한정 디저트)
PRD_008,TGT_006,상사/은사 (세련된 패키징의 품격 있는 선물)
PRD_009,TGT_002,연인 (감성적이고 로맨틱한 선물)
PRD_009,TGT_007,어린이 (재미있는 소리와 디자인)
PRD_009,TGT_008,자신 (오타루 여행의 영구적인 추억)
PRD_010,TGT_001,부모님 (정성 가득한 수제 전통공예품)
PRD_010,TGT_002,연인 (특별한 분위기의 선물)
PRD_010,TGT_006,상사/은사 (검증된 장인 정신의 고급 선물)
PRD_031,TGT_001,부모님(팥 앙금이 들어간 전통있는 화과자)
PRD_031,TGT_006,상사/은사 (구마모토 성을 모티브로 한 품격있는 선물)
PRD_031,TGT_008,자신 (지역 대표 과자를 직접 경험하는 여행 보상)
PRD_032,TGT_003,친구 (가볍게 나눠 먹기 좋은 트렌디한 간식)
PRD_032,TGT_004,가족 (남녀노소 부담 없이 즐길 수 있는 달콤한 맛)
PRD_032,TGT_008,자신 (간편하게 즐기는 여행 간식)
PRD_033,TGT_001,부모님 (전통 소주로 지역의 술을 소개)
PRD_033,TGT_006,상사/은사 (지역 특산주로 격식을 갖춘 선물)
PRD_033,TGT_008,자신 (여행지 특산주를 즐기기 위한 선택)
PRD_034,TGT_002,연인 (카페 감성 디저트로 연인에게 선물하기 좋음)
PRD_034,TGT_003,친구 (카페 감성 디저트로 함께 즐기기 좋음)
PRD_034,TGT_004,가족 (부드러운 우유 맛으로 호불호 없는 디저트)
PRD_034,TGT_005,직장동료 (개별 포장으로 나눠주기 편리한 간식)
PRD_035,TGT_004,가족 (실용적이며 일상에서 활용 가능한 기념품)
PRD_035,TGT_007,어린이 (쿠마몬 캐릭터로 흥미를 끄는 상품)
PRD_035,TGT_008,자신 (친환경 소재로 의미 있는 소비)
PRD_036,TGT_003,친구 (특이한 맛으로 재미를 공유할 수 있는 음료)
PRD_036,TGT_007,어린이 (탄산과 색다른 맛으로 호기심 자극)
PRD_036,TGT_008,자신 (이색적인 경험을 위한 구매)
PRD_037,TGT_003,친구 (가볍게 나눠 먹기 좋은 간식)
PRD_037,TGT_004,가족 (다양한 맛으로 함께 즐기기 적합)
PRD_037,TGT_007,어린이 (귀여운 캐릭터로 시각적 재미 제공)
PRD_038,TGT_001,부모님 (고급 밤 디저트로 정성 있는 선물)
PRD_038,TGT_002,연인 (부드럽고 달콤한 분위기의 디저트)
PRD_038,TGT_006,상사/은사 (프리미엄 디저트로 격식 있는 선택)
PRD_039,TGT_001,부모님 (전통 화과자로 신뢰감 있는 선물)
PRD_039,TGT_004,가족 (함께 나눠 먹기 좋은 대표 간식)
PRD_039,TGT_006,상사/은사 (검증된 지역 명과로 품격 있는 선택)
PRD_040,TGT_002,연인 (일상에서 사용할 수 있는 감각적인 선물)
PRD_040,TGT_003,친구 (디자인이 귀엽고 실용적인 기념품)
PRD_040,TGT_004,가족 (실용성과 활용도가 높은 아이템)
PRD_040,TGT_008,자신 (환경을 고려한 스마트한 소비 경험)
PRD_021,TGT_002,연인 (디자인이 예쁘고 로맨틱한 액세서리)
PRD_021,TGT_003,친구 (유행에 민감하고 의미 있는 선물)
PRD_021,TGT_008,자신 (여행의 추억을 간직하는 기념품)
PRD_022,TGT_003,친구 (트렌디한 뷰티/실용적인 선물)
PRD_022,TGT_004,가족 (남녀노소 무난하게 쓸 수 있는 저자극)
PRD_022,TGT_008,자신 (평소 궁금했던 뷰티 제품 경험)
PRD_023,TGT_004,가족 (모양보다 양! 호불호 없이 즐기는 간식)
PRD_023,TGT_008,자신 (유명한 맛을 가성비 있게 즐기는 보상)
PRD_024,TGT_003,친구 (함께 즐겁게 나눠 먹기 좋은 디저트)
PRD_024,TGT_005,직장동료 (개별 포장되어 하나씩 나눠주기 편리)
PRD_025,TGT_002,연인 (로맨틱한 분위기를 내는 고급 디저트)
PRD_025,TGT_006,상사/은사 (검증된 프리미엄 퀄리티의 선물)
PRD_026,TGT_001,부모님 (짭짤한 전통의 맛과 술안주로 제격)
PRD_026,TGT_004,가족 (가족끼리 부담 없이 즐기는 대중적 간식)
PRD_027,TGT_001,부모님 (정성스럽고 고급스러운 전통 공예품)
PRD_027,TGT_006,상사/은사 (예의를 갖출 수 있는 품격 있는 장인 선물)
PRD_028,TGT_001,부모님 (건강을 생각한 전통적인 다과)
PRD_028,TGT_005,직장동료 (사무실에서 깔끔하게 먹기 좋은 포장)
PRD_029,TGT_003,친구 (여행 다녀온 티를 낼 수 있는 시그니처 선물)
PRD_029,TGT_004,가족 (모두가 좋아하는 버터 맛 쿠키)
PRD_029,TGT_007,어린이 (귀여운 비둘기 모양 디자인)
PRD_029,TGT_008,자신 (예쁜 틴케이스 소장용)
PRD_030,TGT_001,부모님 (고급스러운 전통 크림 센베이)
PRD_030,TGT_006,상사/은사 (품격 있는 패키징과 검증된 맛)
PRD_041,TGT_001,부모님 (부모님께 드리는 달콤한 간식)
PRD_041,TGT_002,연인 (연인에게 주는 달콤한 간식)
PRD_041,TGT_003,친구 (친구에게 주는 달콤한 간식)
PRD_041,TGT_004,가족 (우리집 식탁에 놓아두는 달콤한 간식)
PRD_041,TGT_005,직장동료 (직장동료에게 주는 달콤한 간식)
PRD_041,TGT_006,상사/은사(감사함을 전달하는 달콤한 방법)
PRD_041,TGT_007,어린이 (아이들이 좋아할 달콤한 간식)
PRD_042,TGT_001,부모님 (부모님이 좋아하실 수공예 손수건)
PRD_042,TGT_006,상사/은사(감사함을 전달하는 수공예 손수건)
PRD_042,TGT_008,자신 (도쿠시마를 기억하는 수공예 손수)
PRD_043,TGT_001,부모님 (부모님께 드리는 고급 설탕 선물)
PRD_043,TGT_005,직장동료 (직장동료에게 주는 고급 설탕 선물)
PRD_043,TGT_006,상사/은사(감사함을 전하는 고급 설탕 선물)
PRD_044,TGT_001,부모님 (부모님께 드리는 상큼한 꿀 선물)
PRD_044,TGT_003,친구 (친구에게 주는 상큼한 꿀 선물)
PRD_044,TGT_004,가족 (가족들과 같이 즐기는 상큼한 꿀)
PRD_044,TGT_005,직장동료 (직장동료에게 선물하는 상큼한 꿀)
PRD_044,TGT_006,상사/은사(감사함을 전하는 상큼한 꿀)
PRD_045,TGT_003,친구 (친구들을 위한 이색 라멘)
PRD_045,TGT_004,가족 (가족들을 위한 이색 라멘)
PRD_045,TGT_007,어린이 (어린이를 위한 이색 라멘)
PRD_046,TGT_001,부모님 (부모님께 드리는 달콤한 간식)
PRD_046,TGT_002,연인 (연인에게 주는 달콤한 간식)
PRD_046,TGT_004,가족 (가족에게 주는 달콤한 간식)
PRD_046,TGT_005,직장동료 (직장동료에게 주는 달콤한 간식)
PRD_046,TGT_006,상사/은사(감사함을 전하는 달콤한 간식)
PRD_046,TGT_007,어린이 (아이들이 좋아할 달콤한 간식)
PRD_047,TGT_001,부모님 (부모님께 드리는 매콤달콤 김)
PRD_047,TGT_004,가족 (우리집 식탁에 함께할 매콤달콤 김)
PRD_047,TGT_005,직장동료 (직장동료에게 주는 매콤달콤 김)
PRD_047,TGT_006,상사/은사(감사함을 전하는 매콤달콤 )
PRD_048,TGT_002,연인 (연인에게 주는 달콤한 간식)
PRD_048,TGT_003,친구 (친구에게 주는 달콤한 간식)
PRD_048,TGT_004,가족 (우리집 식탁에 놓아두는 달콤한 간식)
PRD_048,TGT_005,직장동료 (직장동료에게 주는 달콤한 간식)
PRD_048,TGT_006,상사/은사(감사함을 전달하는 달콤한 방법)
PRD_048,TGT_007,어린이 (아이들이 좋아할 달콤한 간식)
PRD_049,TGT_001,부모님 (부모님께 드리는 건강 메밀면)
PRD_049,TGT_004,가족 (가족들과 함께하는 건강 메밀면)
PRD_049,TGT_005,직장동료 (직장동료에게 주는 건강 메밀면)
PRD_050,TGT_001,부모님 (부모님께 드리는 최고급 미역)
PRD_050,TGT_004,가족 (가족들과 함께하는 최고급 미역)
PRD_050,TGT_005,직장동료 (직장동료에게 주는 최고급 미역)
PRD_050,TGT_006,상사/은사 (감사함을 전하는 최고급 미역)
PRD_051,TGT_001,부모님 (부모님께 드리는 상큼한 건강 차)
PRD_051,TGT_003,친구 (친구에게 주는 상큼한 건강 차)
PRD_051,TGT_004,가족 (가족들과 함께하는 상큼한 건강 차)
PRD_051,TGT_005,직장동료 (직장동료에게 주는 상큼한 건강 차)
PRD_051,TGT_006,상사/은사(감사함을 전달하는 상큼한 건강 차)
PRD_052,TGT_001,부모님 (부모님께 드리는 친환경 맥주)
PRD_052,TGT_002,연인 (연인과 함께 기울이는 친환경 맥주)
PRD_052,TGT_003,친구 (친구와 함께 기울이는 친환경 맥주)
PRD_052,TGT_004,가족 (가족들과 함께하는 친환경 맥주)
PRD_052,TGT_005,직장동료 (직장동료와 기울이는 친환경 맥주)
PRD_052,TGT_006,상사/은사(감사함을 전달하는 친환경 맥주)
PRD_052,TGT_008,자신 (지구와 함께 수고한 나를 위한 친환경 맥주)
PRD_053,TGT_001,부모님 (부모님께 전하는 특별한 그릇)
PRD_053,TGT_002,연인 (연인에게 전하는 특별한 그릇)
PRD_053,TGT_004,가족 (우리집 식탁에 놓이는 특별한 그릇)
PRD_053,TGT_006,상사/은사(고마움을 전하는 특별한 그릇)
PRD_054,TGT_002,연인 (연인에게 잉어깃발로 만든 귀여운 인형을)
PRD_054,TGT_003,친구 (친구에게 잉어깃발로 만든 귀여운 인형을)
PRD_054,TGT_004,가족 (가족에게 잉어깃발로 만든 귀여운 인형을)
PRD_054,TGT_007,어린이 (아이에게 잉어깃발로 만든 귀여운 인형을)
PRD_054,TGT_008,자신 (나를 위해 잉어깃발로 만든 귀여운 인형을)
PRD_055,TGT_001,부모님 (부모님에게 전하는 특별한 전통 슬리퍼)
PRD_055,TGT_002,연인 (연인에게 전하는 특별한 전통 슬리퍼)
PRD_055,TGT_004,가족 (우리집에 선물할 특별한 전통 슬리퍼)
PRD_055,TGT_007,어린이 (아이에게 선물할 특별한 전통 슬리퍼)
PRD_055,TGT_008,자신 (내게 전하는 특별한 전통 슬리퍼)
PRD_056,TGT_001,부모님 (쌉싸름한 말차 풍미의 전통 화과자)
PRD_056,TGT_006,상사/은사 (격식 있는 구마모토 전통 과자)
PRD_056,TGT_008,자신 (말차 풍미를 직접 즐기기 좋은 간식)
PRD_057,TGT_001,부모님 (전통적인 팥앙금과 규히의 부드러운 맛)
PRD_057,TGT_006,상사/은사 (고급스러운 박스형 화과자 선물)
PRD_057,TGT_004,가족 (함께 나눠 먹기 좋은 전통 화과자)
PRD_058,TGT_001,부모님 (검은깨와 팥앙금의 고소한 전통 과자)
PRD_058,TGT_003,친구 (구마모토성 이미지를 담은 지역성 있는 선물)
PRD_058,TGT_006,상사/은사 (구마모토풍 전통 과자로 격식 있음)
PRD_059,TGT_001,부모님 (산뜻한 산미가 있는 전통 과자)
PRD_059,TGT_006,상사/은사 (고급스럽고 독특한 화과자 선물)
PRD_059,TGT_002,연인 (마르멜로 잼의 상큼한 디저트)
PRD_060,TGT_007,어린이 (구마몬 패키지의 귀여운 캐릭터 과자)
PRD_060,TGT_003,친구 (캐릭터 기념품 느낌이 강한 선물)
PRD_060,TGT_004,가족 (구마몬 디자인으로 함께 즐기기 좋음)
PRD_061,TGT_003,친구 (부담 없이 살 수 있는 낱개 간식)
PRD_061,TGT_007,어린이 (달콤하고 익숙한 도라야키)
PRD_061,TGT_008,자신 (여행 중 가볍게 먹기 좋은 간식)
PRD_062,TGT_004,가족 (과일 맛 젤리로 남녀노소 즐기기 좋음)
PRD_062,TGT_007,어린이 (시원하고 달콤한 젤리형 과자)
PRD_062,TGT_002,연인 (상큼한 과일 디저트 선물)
PRD_063,TGT_003,친구 (개별 포장 구움과자로 나눠 먹기 좋음)
PRD_063,TGT_005,직장동료 (사무실에서 나눠주기 쉬운 개별 포장)
PRD_063,TGT_004,가족 (대표 구움과자로 대중적인 맛)
PRD_064,TGT_002,연인 (소량 고급 버터샌드 디저트)
PRD_064,TGT_003,친구 (프리미엄 간식으로 가볍게 선물하기 좋음)
PRD_064,TGT_008,자신 (여행 중 보상용 디저트)
PRD_065,TGT_005,직장동료 (수량이 많아 나눠주기 좋은 사브레)
PRD_065,TGT_003,친구 (가볍고 바삭한 지역 사브레)
PRD_065,TGT_004,가족 (함께 먹기 좋은 대중적인 쿠키류)
PRD_066,TGT_004,가족 (부드러운 커스터드 과자로 함께 먹기 좋음)
PRD_066,TGT_007,어린이 (달콤하고 부드러운 크림 계열 과자)
PRD_066,TGT_002,연인 (부드러운 디저트 선물)
PRD_067,TGT_003,친구 (매콤하고 바삭한 이색 과자)
PRD_067,TGT_005,직장동료 (단 과자가 아닌 짭짤한 간식)
PRD_067,TGT_008,자신 (맥주 안주용으로 즐기기 좋은 과자)
PRD_068,TGT_003,친구 (북두의 권과 구마몬의 코믹한 조합)
PRD_068,TGT_007,어린이 (캐릭터 디자인이 돋보이는 만주)
PRD_068,TGT_008,자신 (캐릭터 굿즈 느낌의 기념품)
PRD_069,TGT_001,부모님 (달지 않고 고소한 김·견과 과자)
PRD_069,TGT_005,직장동료 (어른 입맛에도 맞는 짭짤한 간식)
PRD_069,TGT_006,상사/은사 (무난하고 격식 있는 어른용 선물)
PRD_070,TGT_003,친구 (간장 캐슈넛의 짭짤한 안주형 과자)
PRD_070,TGT_008,자신 (술안주나 간식으로 즐기기 좋음)
PRD_070,TGT_005,직장동료 (단맛이 적은 실속형 간식)
