product_code,name_ko,name_jp,brand_name,primary_region_code,price_range_code,price,description,purchase_tip,is_region_limited,image_url,source_note
PRD_001,드브르 프로마쥬,ドゥーブルフロマージュ,루타오 (LeTAO),REG_002,PRC_03,2376,"루타오 드브르 프로마쥬는 레어 치즈층과 베이크드 치즈층을 겹친 홋카이도 치즈케이크입니다. 생크림과 치즈의 우유 풍미가 진하고, 해동 정도에 따라 녹는 식감과 반냉동의 사각한 식감을 다르게 즐길 수 있습니다. 오타루를 대표하는 루타오의 시그니처 케이크로 선물성이 높은 냉동 디저트입니다.","냉동 상태로 판매되므로 보냉백이 필요하며, 해동 후에는 48시간 이내에 섭취하는 것이 가장 맛있음.",0,https://thumbnail.image.rakuten.co.jp/@0_mall/letao/cabinet/item/f808_/202505/f808_01_new.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/g00rjikn.16t5ub7e.g00rjikn.16t5v42a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fletao%2Ff808%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fletao%2Fi%2F10000923%2F&rafcid=wsc_i_is_b93111dd-e085-46a2-a75f-28c1ee5d2de6
PRD_002,오타루 이로나이도리 프로마쥬,小樽色内通りフロ마쥬,루타오 (LeTAO),REG_002,PRC_02,1296,"오타루 산나이 거리 프로마주는 루타오의 더블 프로마주 이미지를 쿠키로 풀어낸 홋카이도 기념 과자입니다. 치즈와 마스카르포네, 생크림, 버터, 초콜릿 풍미가 어우러진 랑그드샤 타입 쿠키입니다. 한 조각에서도 치즈케이크 같은 깊고 부드러운 맛을 느끼도록 구성된 디저트 상품입니다.",상온 보관이 가능하고 개별 포장이 되어 있어 직장 동료나 친구들에게 대량으로 선물하기 적합함.,0,https://thumbnail.image.rakuten.co.jp/@0_mall/letao/cabinet/item/k068/202603/k068_01_sp.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/53033622.7bbb75b6.53033623.c98a76f0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ftidoriya%2F4952336316095%2F&m=https%3A%2F%2Fitem.rakuten.co.jp%2Ftidoriya%2F4952336316095%2F
PRD_003,요정의 숲 (바움쿠헨),妖精の森,기타카로 (北菓楼),REG_002,PRC_02,1458,"기타카로의 바움쿠헨 요정의 숲은 촉촉한 식감으로 알려진 홋카이도 구움과자입니다. 홋카이도산 밀, 생크림, 달걀을 사용해 부드럽고 풍미 있는 맛을 냅니다. 컷 포장 세트와 높이 4센티미터 단품 등으로 구성되는 대표 바움쿠헨 상품입니다.","높이에 따라 다양한 가격대가 있으며, 8개입 컷 제품은 개별 포장되어 있어 나눠 먹기 편리함.",0,https://thumbnail.image.rakuten.co.jp/@0_mall/hokkaido-omiyage/cabinet/hori/hori036-pack03.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/g00pm4tn.16t5uf55.g00pm4tn.16t5vab0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fhokkaido-omiyage%2Fhori036%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fhokkaido-omiyage%2Fi%2F10004718%2F&rafcid=wsc_i_is_b93111dd-e085-46a2-a75f-28c1ee5d2de6
PRD_004,홋카이도 개척 오카키,北海道開拓おかき,기타카로 (北菓楼),REG_002,PRC_01,490,"홋카이도 개척 오카키는 장인이 쌀을 씻고, 찌고, 떡을 치며 숙성, 건조, 기름에 튀기고 양념하는 복잡한 과정을 거쳐 총 7일이라는 긴 시간과 정성을 들여 만들어집니다. 이처럼 한 알 한 알 세심하게 공들인 수작업 덕분에 특별한 맛과 식감을 자랑합니다. 특히 오카키 특유의 독특한 식감은 이 전용 찹쌀로만 구현할 수 있습니다. 선물이나 기념품으로 인기가 높으며, 다양한 계절 및 지역 특산물을 활용한 한정판 제품도 출시되어 꾸준히 사랑받고 있습니다.","맥주 안주로 인기가 높으며, 가리비맛과 단새우맛이 가장 대중적으로 추천되는 베스트셀러임.",0,https://thumbnail.image.rakuten.co.jp/@0_mall/tricotbyyamasanfujiya/cabinet/04407484/item_kitakarou/imgrc0138817564.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/g00s3qqn.16t5u556.g00s3qqn.16t5v8e5/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ftricotbyyamasanfujiya%2F4589505932024%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ftricotbyyamasanfujiya%2Fi%2F10001121%2F&rafcid=wsc_i_is_b93111dd-e085-46a2-a75f-28c1ee5d2de6
PRD_005,마론 코론,マロンコロン,아마토 (あまとう),REG_002,PRC_02,1502,"아마토의 마론 코론은 오타루를 대표하는 쿠키형 과자입니다. 카카오, 치즈, 아몬드, 월넛을 기본 맛으로 하며 딸기, 홍차, 말차, 레몬 같은 변형 맛도 구성됩니다. 여러 맛을 조합한 상자 구성이 있어 바삭한 쿠키와 초콜릿 코팅의 풍미를 다양하게 담은 상품입니다.","아몬드, 치즈, 카카오, 호두 4가지 맛이 있으며 오타루 시민들에게 오랜 시간 사랑받은 전통의 맛임.",1,https://thumbnail.image.rakuten.co.jp/@0_mall/946kitchen/cabinet/kihon3/08514887/maronnkoronnnn1.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/g00qmn4n.16t5ue4b.g00qmn4n.16t5v8de/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2F946kitchen%2F10000239%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2F946kitchen%2Fi%2F10000239%2F&rafcid=wsc_i_is_b93111dd-e085-46a2-a75f-28c1ee5d2de6
PRD_006,오타루 맥주 (필스너),小樽ビール (ピルスナー),오타루 맥주,REG_002,PRC_01,368,"깊은 색상과 달리 가볍게 넘어가는 목넘김이 특징이며, 그 안에는 깊고 풍부한 맛을 느낄 수 있는 맥주입니다. 유기 보리 및 유기 홉을 사용하여 깔끔하고 상쾌한 맛을 자랑하며, 유기 보리의 사용 비율이 50%에 달해 오가닉 비어로도 분류됩니다. 이 맥주는 바이마르 북부 프랑켄 지역의 스타일을 지니고 있습니다. 또한, 하부 발효 효모를 이용해 5~10도의 저온에서 장기간 숙성시키는 방식으로 정성껏 만들어졌습니다.","필스너, 바이첸 등 종류가 다양하며 오타루 운하를 산책하며 마시거나 선물용 병으로 구매 가능함.",1,https://thumbnail.image.rakuten.co.jp/@0_mall/koukyourin/cabinet/sake/opiru20020002.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/g00qjqkn.16t5ucfb.g00qjqkn.16t5v304/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkoukyourin%2Fbeer05%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkoukyourin%2Fi%2F10000451%2F&rafcid=wsc_i_is_b93111dd-e085-46a2-a75f-28c1ee5d2de6
PRD_007,가마에이 어묵 5종 세트,かま栄 かまぼこ,가마에이 (かま栄),REG_002,PRC_06,12000,"가마에이 어묵 오종 세트는 오타루의 가마보코 전문점 가마에이가 만든 어묵 모둠입니다. 메이지 시대 창업점의 전통을 바탕으로 생선살을 탄력 있게 빚어 내며, 감자와 옥수수, 치즈가 들어간 제품처럼 여러 맛을 비교할 수 있습니다. 그대로 먹거나 가볍게 데우면 해산물의 감칠맛과 부드러운 식감이 살아나는 홋카이도식 수산 가공품입니다.","오타루 본점 팩토리에서 갓 튀긴 어묵을 맛볼 수 있으며, 세트 상품은 격식 있는 선물로 인기가 높음.",1,https://thumbnail.image.rakuten.co.jp/@0_mall/f012033-otaru/cabinet/frp_goods/frp007/17052959.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/53033622.7bbb75b6.53033623.c98a76f0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ff012033-otaru%2Fcr002%2F&m=https%3A%2F%2Fitem.rakuten.co.jp%2Ff012033-otaru%2Fcr002%2F
PRD_008,오타루 가와라야키 바움,小樽瓦焼バウム,UNGA↑ (웅가플러스),REG_002,PRC_02,1400,"숙련된 장인이 만든 전통적인 바움쿠헨입니다. 이 제품은 오타루의 기와지붕을 형상화하여, 쌓아 올린 기와의 모습을 바움쿠헨의 층과 바삭한 캐러멜 식감으로 표현했습니다. 바움쿠헨을 두 번 구워내고 캐러멜 파우더를 입혀 다시 굽는 과정을 거쳐 완성되었습니다. 이 독특한 공정을 통해 바삭하고 고소한 식감을 자랑하며, 선물용으로도 인기가 높습니다.",오타루의 역사를 담은 세련된 패키지 디자인 덕분에 기념비적인 선물로 선택하기 매우 좋음.,1,https://thumbnail.image.rakuten.co.jp/@0_mall/f012033-otaru/cabinet/frp_goods/frp001/3690762.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/g00ttxhn.16t5u36c.g00ttxhn.16t5v30e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ff012033-otaru%2Fbj004%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ff012033-otaru%2Fi%2F10000982%2F&rafcid=wsc_i_is_b93111dd-e085-46a2-a75f-28c1ee5d2de6
PRD_009,오타루 목제 오르골,小樽オルゴール,오타루 오르골당,REG_002,PRC_05,4000,"오타루 오르골당 본관에서 만날 수 있는 목제 오르골은 특별한 추억을 선물합니다. 특히 증기시계가 장식된 오르골은 그 자체로 아름다운 볼거리입니다. 사카이마치도오리 상점가와 메르헨 사거리에 위치한 이곳에서, 여행의 소중한 순간들을 오래도록 간직할 수 있습니다.","원하는 곡을 선택하여 커스터마이징 할 수 있으며, 영구적으로 소장 가능한 높은 가치를 지님.",1,https://dzwpvqehwr7zl.cloudfront.net/omios/products/generated/_review/PRD_009/PRD_009_packshot_v1.png,https://livejapan.com/ko/in-hokkaido/in-pref-hokkaido/in-otaru/article-a1000545/
PRD_010,오타루 유리잔 (달맞이 시리즈),小樽ガラス (月見),다이쇼 유리관,REG_002,PRC_04,3300,"달맞이 시리즈인 '츠키미 우사기 글라스'는 달밤의 아름다움을 담은 디자인입니다. 유리잔 측면의 달맞이 장면을 들여다보면, 마치 달 속에 있는 듯한 귀여운 토끼들을 발견할 수 있습니다. 이 제품은 행운을 부르는 '달맞이 토끼' 시리즈 중 하나로, 특히 달이 아름다운 가을밤에 즐기는 집 시간을 위한 아이템입니다.","술이나 차를 담았을 때 문양이 더욱 돋보이며, 여성 관광객들에게 특히 인기가 많은 고품격 선물임.",1,https://thumbnail.image.rakuten.co.jp/@0_mall/shikisaido/cabinet/10092874/4589964828968.jpg?_ex=1024x1024,https://hb.afl.rakuten.co.jp/hgc/53033622.7bbb75b6.53033623.c98a76f0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fshikisaido%2F4589964828968%2F&m=https%3A%2F%2Fitem.rakuten.co.jp%2Fshikisaido%2F4589964828968%2F
