"location_code","region_code","name","location_type","description","address","website_url","is_active"
"LOC_001","REG_012","라그노오 신아오모리역 아오모리슌미칸점(ラグノオ 新青森駅ビルあおもり旬味館店)","역","라그노오 사사키의 신아오모리역 직영 매장으로 파티시에의 사과 스틱 등 아오모리 사과 과자를 판매한다.","〒038-0003 青森県青森市大字石江字高岡140-2 あおもり旬味館1F","https://maps.google.com/maps?q=%E3%83%A9%E3%82%B0%E3%83%8E%E3%82%AA+%E6%96%B0%E9%9D%92%E6%A3%AE%E9%A7%85%E3%83%93%E3%83%AB%E3%81%82%E3%81%8A%E3%82%82%E3%82%8A%E6%97%AC%E5%91%B3%E9%A4%A8%E5%BA%97+%E3%80%92038-0003+%E9%9D%92%E6%A3%AE%E7%9C%8C%E9%9D%92%E6%A3%AE%E5%B8%82%E5%A4%A7%E5%AD%97%E7%9F%B3%E6%B1%9F%E5%AD%97%E9%AB%98%E5%B2%A1140-2+%E3%81%82%E3%81%8A%E3%82%82%E3%82%8A%E6%97%AC%E5%91%B3%E9%A4%A81F","1"
"LOC_002","REG_012","오키나야 신마치점(おきな屋 新町店)","기타","오키나야의 아오모리 신마치 직영점으로 우스쿠레나이 등 사과 과자와 전통 과자를 판매한다.","〒030-0801 青森県青森市新町1丁目8-2","https://maps.google.com/maps?q=%E3%81%8A%E3%81%8D%E3%81%AA%E5%B1%8B+%E6%96%B0%E7%94%BA%E5%BA%97+%E3%80%92030-0801+%E9%9D%92%E6%A3%AE%E7%9C%8C%E9%9D%92%E6%A3%AE%E5%B8%82%E6%96%B0%E7%94%BA1%E4%B8%81%E7%9B%AE8-2","1"
"LOC_003","REG_012","JAL PLAZA 아오모리공항 출발로비점(JAL PLAZA 青森空港 出発ロビー店)","공항","아오모리공항 2층 출발로비의 JAL PLAZA 매장으로, 기적의 사과 카린토 등 아오모리 공항 기념품을 취급한다.","〒030-0155 青森県青森市大字大谷字小谷1 青森空港ターミナルビル2F 出発ロビー売店エリア","https://maps.google.com/maps?q=JAL+PLAZA+%E9%9D%92%E6%A3%AE%E7%A9%BA%E6%B8%AF+%E5%87%BA%E7%99%BA%E3%83%AD%E3%83%93%E3%83%BC%E5%BA%97","1"
"LOC_004","REG_012","야마모토식품 야나기마치 영업소 네부타976(ヤマモト食品株式会社 柳町営業所『ねぶた976』)","기타","아오모리시 야나기마치 상점가에 있는 야마모토식품 직영 매장으로, 네부타즈케를 비롯한 자사 식품을 판매한다.","青森県青森市長島1-6-3","https://maps.google.com/maps?q=%E3%83%A4%E3%83%9E%E3%83%A2%E3%83%88%E9%A3%9F%E5%93%81%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+%E6%9F%B3%E7%94%BA%E5%96%B6%E6%A5%AD%E6%89%80%E3%80%8E%E3%81%AD%E3%81%B6%E3%81%9F976%E3%80%8F+%E9%9D%92%E6%A3%AE%E7%9C%8C%E9%9D%92%E6%A3%AE%E5%B8%82%E9%95%B7%E5%B3%B61-6-3","1"
"LOC_005","REG_012","아스팜 물산 아스팜점(アスパム物産 アスパム店)","기념품샵","청森県観光物産館 아스팜 1층의 대형 기념품 매장으로, 아오모리 식품과 음료, 공예품을 폭넓게 취급한다.","〒030-0803 青森県青森市安方1丁目1-40 青森県観光物産館アスパム1階","https://maps.google.com/maps?q=%E3%82%A2%E3%82%B9%E3%83%91%E3%83%A0%E7%89%A9%E7%94%A3+%E3%82%A2%E3%82%B9%E3%83%91%E3%83%A0%E5%BA%97","1"
"LOC_006","REG_012","아오모리현 지바 셀렉트(青森県地場セレクト)","기념품샵","아스팜 내에서 아오모리 각지의 지장산품과 B급 구르메 상품을 선별해 판매하는 로컬 셀렉트숍이다.","〒030-0803 青森県青森市安方1丁目1番40号 青森県観光物産館アスパム内","https://maps.google.com/maps?q=%E9%9D%92%E6%A3%AE%E7%9C%8C%E5%9C%B0%E5%A0%B4%E3%82%BB%E3%83%AC%E3%82%AF%E3%83%88+%E3%82%A2%E3%82%B9%E3%83%91%E3%83%A0","1"
"LOC_007","REG_012","쓰가루 비드로 아오모리 직영 숍(津軽びいどろ 青森直営ショップ)","기타","북양유리 공장에 있는 쓰가루 비드로 직영 쇼룸으로, 다양한 쓰가루 비드로 식기와 소품을 직접 고를 수 있다.","青森県青森市富田4丁目29-13","https://maps.google.com/maps?q=%E6%B4%A5%E8%BB%BD%E3%81%B3%E3%81%84%E3%81%A9%E3%82%8D+%E9%9D%92%E6%A3%AE%E7%9B%B4%E5%96%B6%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97","1"
"LOC_008","REG_012","브나코 쇼룸 블레스(BUNACO Showroom BLESS)","기타","히로사키 도테마치의 BUNACO 직영 쇼룸으로, 조명과 인테리어 소품, 테이블웨어 등 BUNACO 제품을 전시·판매한다.","〒036-8182 青森県弘前市土手町100-1 もりやビル2F","https://maps.google.com/maps?q=BUNACO+Showroom+BLESS","1"
"LOC_009","REG_012","다코마치 갈릭센터 기프트숍(田子町ガーリックセンター ギフトショップ)","기념품샵","다코마치 갈릭센터 안의 기프트숍으로, 다코산 마늘과 마늘 가공품, 지역 특산품을 판매한다.","〒039-0201 青森県三戸郡田子町田子字田子11","https://maps.google.com/maps?q=%E7%94%B0%E5%AD%90%E7%94%BA%E3%82%AC%E3%83%BC%E3%83%AA%E3%83%83%E3%82%AF%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E3%82%AE%E3%83%95%E3%83%88%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97+%E3%80%92039-0201+%E9%9D%92%E6%A3%AE%E7%9C%8C%E4%B8%89%E6%88%B8%E9%83%A1%E7%94%B0%E5%AD%90%E7%94%BA%E7%94%B0%E5%AD%90%E5%AD%97%E7%94%B0%E5%AD%9011","1"
"LOC_010","REG_012","하토야제과 신아오모리역 아오모리슌미칸점(はとや製菓 新青森駅あおもり旬味館店)","역","신아오모리역 1층 아오모리슌미칸 안에 있는 하토야제과 직영점으로, 아오모리 사과·카시스 관련 과자와 잼을 판매한다.","青森県青森市石江高間140-2 新青森駅ビル あおもり旬味館1F","https://maps.google.com/maps?q=%E3%81%AF%E3%81%A8%E3%82%84%E8%A3%BD%E8%8F%93+%E6%96%B0%E9%9D%92%E6%A3%AE%E9%A7%85%E3%81%82%E3%81%8A%E3%82%82%E3%82%8A%E6%97%AC%E5%91%B3%E9%A4%A8%E5%BA%97","1"
